date,value
25/08/2016,580.45
26/08/2016,580.62
27/08/2016,579.85
28/08/2016,574.04
29/08/2016,576.28
30/08/2016,578.36
31/08/2016,577.86
01/09/2016,576.31
02/09/2016,575.64
03/09/2016,599.5
04/09/2016,611.84
05/09/2016,609.05
06/09/2016,610.83
07/09/2016,614.54
08/09/2016,628.77
09/09/2016,626.83
10/09/2016,625.1
11/09/2016,628.82
12/09/2016,608.46
13/09/2016,611.19
14/09/2016,611.95
15/09/2016,611.09
16/09/2016,609.26
17/09/2016,607.86
18/09/2016,610.16
19/09/2016,610.93
20/09/2016,609.52
21/09/2016,603.59
22/09/2016,598.49
23/09/2016,603.21
24/09/2016,604.58
25/09/2016,603.38
26/09/2016,608.14
27/09/2016,608.25
28/09/2016,606.59
29/09/2016,606.82
30/09/2016,609.74
01/10/2016,615.24
02/10/2016,614
03/10/2016,612.57
04/10/2016,612.05
05/10/2016,613.81
06/10/2016,613.82
07/10/2016,617.91
08/10/2016,619.85
09/10/2016,619.2
10/10/2016,621.32
11/10/2016,642.08
12/10/2016,641.34
13/10/2016,638.83
14/10/2016,641.28
15/10/2016,642.1
16/10/2016,642.9
17/10/2016,642.33
18/10/2016,640.74
19/10/2016,638.87
20/10/2016,631.92
21/10/2016,634.09
22/10/2016,658.2
23/10/2016,661.13
